"","Genotype","DP_2015","DP_2017","DP_2018","DP_2019","DP_2015_2017","DP_2015_2018","DP_2015_2019"
"J950052-001",145,101.292969714389,111.595587728839,77.1355474198047,-24.8031729428173,106,96.3849372384937,66.1171548117155
"J950056-004",146,101.292969714389,71.5955877288386,37.1355474198047,-4.80317294281729,86,69.718270571827,51.1171548117155
"J950060-001",147,41.2929697143889,71.5955877288386,37.1355474198047,-4.80317294281729,56,49.718270571827,36.1171548117155
"J950077-003",148,81.2929697143889,51.5955877288386,57.1355474198047,35.1968270571827,66,63.0516039051603,56.1171548117155
"J950077-004",149,101.292969714389,71.5955877288386,-2.86445258019528,55.1968270571827,86,56.3849372384937,56.1171548117155
"J950081-001",150,21.2929697143889,71.5955877288386,-2.86445258019528,75.1968270571827,46,29.718270571827,41.1171548117155
"J950086-002",151,41.2929697143889,91.5955877288386,17.1355474198047,-44.8031729428173,66,49.718270571827,26.1171548117155
"J950087-001",152,41.2929697143889,91.5955877288386,57.1355474198047,-4.80317294281729,66,63.0516039051603,46.1171548117155
"J950114-001",153,81.2929697143889,111.595587728839,57.1355474198047,-4.80317294281729,96,83.0516039051603,61.1171548117155
"J950114-002",154,101.292969714389,71.5955877288386,37.1355474198047,95.1968270571827,86,69.718270571827,76.1171548117155
"J950274-001",155,61.2929697143889,111.595587728839,77.1355474198047,35.1968270571827,86,83.0516039051603,71.1171548117155
"J950276-001",156,61.2929697143889,91.5955877288386,97.1355474198047,95.1968270571827,76,83.0516039051603,86.1171548117155
"J950285-001",157,41.2929697143889,71.5955877288386,97.1355474198047,15.1968270571827,56,69.718270571827,56.1171548117155
"J950285-002",158,21.2929697143889,91.5955877288386,97.1355474198047,35.1968270571827,56,69.718270571827,61.1171548117155
"J950289-001",159,21.2929697143889,111.595587728839,97.1355474198047,-24.8031729428173,66,76.3849372384937,51.1171548117155
"J950297-003",160,101.292969714389,111.595587728839,77.1355474198047,35.1968270571827,106,96.3849372384937,81.1171548117155
"J950297-004",161,41.2929697143889,71.5955877288386,77.1355474198047,-24.8031729428173,56,63.0516039051603,41.1171548117155
"J950297-005",162,21.2929697143889,91.5955877288386,57.1355474198047,55.1968270571827,56,56.3849372384937,56.1171548117155
"J950298-006",163,21.2929697143889,91.5955877288386,97.1355474198047,-44.8031729428173,56,69.718270571827,41.1171548117155
"J950315-001",164,121.292969714389,111.595587728839,97.1355474198047,-4.80317294281729,116,109.718270571827,81.1171548117155
"J950346-01",165,81.2929697143889,91.5955877288386,117.135547419805,-44.8031729428173,86,96.3849372384937,61.1171548117155
"J950370-02",166,1.29296971438886,71.5955877288386,57.1355474198047,-24.8031729428173,36,43.0516039051603,26.1171548117155
"J950409-10-2",167,61.2929697143889,91.5955877288386,77.1355474198047,-44.8031729428173,76,76.3849372384937,46.1171548117155
"J950409-10-3",168,41.2929697143889,111.595587728839,77.1355474198047,-24.8031729428173,76,76.3849372384937,51.1171548117155
"J950409-10-4",169,61.2929697143889,111.595587728839,77.1355474198047,-24.8031729428173,86,83.0516039051603,56.1171548117155
